Cd Empresa;Cd Filial;Nm Filial;Tipo Local;Cd Local;Ds Local Estoque;Cd Item;Nome do Item Resumido ;Nome do Item Detalhado;Cd Unidade Medida;Cd Grupo;Nm Grupo;Cd Subgrupo;Nm Subgrupo;Cd Classe;Nm Classe;Qt Saldo Atual;Vl Custo Unitario Atual;Vl Saldo Atual;Qt Maximo;Qt Minimo;Qt Previsao Consumo;Cd Reparticao;Cd Prateleira;Cd Divisao
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;311975;CORREIA ESPECIFICO 863213 HA;CORREIA ESPECIFICO 863213 HANDTMANN;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;30;CORREIAS E CORRENTES;0;217,2191821;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;311976;CORREIA DENTADA MATERIAL COM;CORREIA DENTADA MATERIAL COMPOSTO BORRACHA NITRILICA CIRCUNFERENCIA EXTERNA 120000 MM APLICACAO EMBUTIDEIRA863217 HANDTMANN;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;30;CORREIAS E CORRENTES;0;288,2658686;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;311978;CORREIA DENTADA MATERIAL COM;CORREIA DENTADA MATERIAL COMPOSTO BORRACHA NITRILICA COMPRIMENTO 37500MM LARGURA 2000MM USO TORCEDOR APLICACAO EMBUTIDEIRA854358 HANDTMANN;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;30;CORREIAS E CORRENTES;0;325,3233333;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;311982;CORREIA DENTADA MATERIAL COM;CORREIA DENTADA MATERIAL COMPOSTO BORRACHA NITRILICA COMPRIMENTO 80000MM LARGURA 1200MM USO TORCEDOR APLICACAO EMBUTIDEIRA865614 HANDTMANN;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;30;CORREIAS E CORRENTES;0;322,3033291;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;312231;EMENDA CORRENTE ROLO TIPO SI;EMENDA CORRENTE ROLO TIPO SIMPLES ACO INOX NORMA ASA 40 PASSO 12 POL CONSTRUCAO CONTRAPINADA;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;30;CORREIAS E CORRENTES;2;8,57;17,14;3;2;;F;2;4
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;312245;ELETRODO TUNGSTENIO C/TORIO;ELETRODO TUNGSTENIO CTORIO PERCENT COMPON ADIC 2 332 POL AWSASME A512;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;7;FERRAMENTAS, ABRASIVO E CORTE ;0;11,42553191;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;312824;ELETRODO OK 48 2,50 MM;ELETRODO ACE7018OK4804 250MM BXMDCARBONO 15KG 0300337 ESAB;KG;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;7;FERRAMENTAS, ABRASIVO E CORTE ;0;82,08666667;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;313025;BUCHA FIXACAO PARAF TIPO CON;BUCHA FIXACAO PARAF TIPO CONVENCIONAL S MATERIAL POLIAMIDA DIAMETRO 10 MM;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;8;BUCHAS E MANCAIS;56;0,10575;5,922;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;313727;ROLAMENTO RIGIDO ESFERA 6007;ROLAMENTO RIGIDO ESFERA 6007 UMA CARREIRA FUR CIL MAT ANEIS E CORPOS ROLANT AI ANEL EXT CIL ANEL INT CON RANH SRANH FOLGA NOR GAIOLA ACO INOX DUPLA SBLINDAGEM DIAM IN 35 MM DIAM EX 62 MM LARG 14 MM;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;16;ROLAMENTOS;1;162,265;162,265;0;0;;G;1;4
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;313729;ENGRENAGEM MATERIAL ACO APLI;ENGRENAGEM MATERIAL ACO APLICACAO REDUTOR42056 SEW;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;32;ENGRENAGENS;0;362,055;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;313842;CILINDRO ESPECIFICO 860411 H;CILINDRO ESPECIFICO 860411 HANDTMANN;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;29;CILINDROS;0;1683,7975;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;314852;"ROLAMENTO FIXO ESF;25X52X15M";ROLAMENTO FIXO ESF25X52X15MMGAI ACO6205 2RS C3;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;16;ROLAMENTOS;0;16,155;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;315835;FITA ISOLANTE TIPO AUTOFUSAO;FITA ISOLANTE TIPO AUTOFUSAO MATERIAL BORRACHA COR PRETO NORMA ABNT NBR 10669 LARGURA 19 MM ESPESSURA 072 MM CAPACIDADE ISOLAMENTO 393 KV FORNECIMENTO EMBALAGEM 10M;UN;2;MATERIAIS GERAIS USO/CONSUMO;2;PECAS REPOSICAO ELETRICA;50;FITAS;0;48,73133333;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;316727;ROLAMENTO LINEAR KH2030 PP M;ROLAMENTO LINEAR KH2030 PP MED20X28X30;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;16;ROLAMENTOS;0;129,7912;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;317114;PALHETA APLICACAO EMBUTIDEIR;PALHETA APLICACAO EMBUTIDEIRA856630 HANDTMANN;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;21;PECAS EQUIPAMENTO PRODUCAO    ;0;514,0658651;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;317220;ABRACADEIRA TC MATERIAL ACO ;ABRACADEIRA TC MATERIAL ACO INOX ACABAMENTO POLIDO TIPO ALTA PRESSAO NORMA DIN 11851 DIAMETRO 112 POL PRESSAO OPERACAO 010 KGFCM2;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;17;ABRACADEIRAS;0;35,005;0;0;0;;AP;0;0
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;317395;ANEL ELASTICO EIXO NORMATIZA;ANEL ELASTICO EIXO NORMATIZADO MATERIAL ACO CARBONO SAE1070 ACABAMENTO FOSFATIZADO DIAMETRO 24 UNIDADE MEDIDA MM ESPESSURA 1 UNIDADE MEDIDA MM NORMA DIN471;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;19;ANÉIS;3;0,5675;1,7025;0;0;;F;1;2
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;317613;ATUADOR ESPECIFICO R440GA271;ATUADOR ESPECIFICO R440GA27143 ALLEN BRADLEY;UN;2;MATERIAIS GERAIS USO/CONSUMO;2;PECAS REPOSICAO ELETRICA;7;CHAVES;1;425,64;425,64;2;1;;G;2;3
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;319078;CORREIA TRANSM V N SECAO UNI;CORREIA TRANSM V N SECAO UNIT B 87;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;30;CORREIAS E CORRENTES;2;90,21;180,42;0;0;;C;3;4
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;319456;DISCO LIXA INOX FLAP-DISC 18;DISCO LIXA INOX FLAPDISC 180X22 7 POL 50 GR;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;7;FERRAMENTAS, ABRASIVO E CORTE ;5;27,234;136,17;10;5;;F;1;2
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;319933;BLOCO DE ESPUMA DE PEDREIRO;BLOCO DE ESPUMA DE PEDREIRO PARA ACABAMENTO DE REBOQUE;PC;2;MATERIAIS GERAIS USO/CONSUMO;4;PECAS REPOSICAO CIVIL;1;CONSTRUCAO                    ;0;5,45;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;320839;LIXA D'AGUA 360 NORTON;LIXA DAGUA 360 NORTON;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;7;FERRAMENTAS, ABRASIVO E CORTE ;0;1,65;0;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;602;MANUTENÇÃO;321301;MOLA ESPECIFICO 849981 HANDT;MOLA ESPECIFICO 849981 HANDTMANN;UN;2;MATERIAIS GERAIS USO/CONSUMO;1;PECAS REPOSICAO MECANICA;33;MOLAS;0;332,1391625;0;;;;;;
