cod_item;saldo_atual;valor_total
22592;0;0
22755;0;0
22763;0;0
22766;300;8360,040001
24128;0;0
24131;0;0
63143;0;0
63157;0;0
64197;0;0
64674;0;0
65402;0;0
66174;0;0
66774;0;0
67867;0;0
67942;0;0
67947;0;0
68239;0;0
68286;0;0
68727;0;0
69064;0;0
69065;0;0
69067;0;0
69068;0;0
69069;0;0
69070;0;0
69071;0;0
69073;0;0
69220;0;0
69222;0;0
69231;0;0
69356;0;0
69381;0;0
69383;0;0
69387;0;0
69403;0;0
69614;0;0
69820;0;0
70118;462;14204,7
70903;0;0
70924;0;0
70926;0;0
71127;0;0
71156;0;0
71158;0;0
71160;0;0
71183;0;0
71184;0;0
72718;0;0
72721;0;0
72883;17600;17361,99992
73135;800;1022,897476
73259;0;0
73794;6600;6174,067522
75553;0;0
76447;5400;10712,19732
76486;0;0
79897;0;0
80485;75035;94935,98539
80486;42000;44529,29103
84094;0;0
84407;0;0
85578;8800;12196,79551
200794;0;0
204609;0;0
289450;0;0
314957;0;0
314961;0;0
315025;0;0
318691;175;7246,036701
325119;0;0
326095;0;0
332896;0;0
344186;0;0
362702;0;0
364730;0;0
374018;0;0
377533;12503,3;172244,26
378969;0;0
379555;0;0
380693;500;74685,63983
380744;500;9373,93
380745;500;7674,7
392936;0;0
403674;0;0
407362;0;0
407363;0;0
408790;0;0
410386;0;0
421600;0;0
426773;33880;55943,65509
429094;0;0
429353;0;0
429355;0;0
431502;0;0
433698;0;0
438294;0;0
438898;0;0
438910;0;0
438928;0;0
438944;0;0
438979;0;0
451970;0;0
454453;0;0
455052;3900;5232,669656
456123;0;0
458171;143;5792,65
458782;0;0
459542;0;0
460338;0;0
463200;0;0
463201;0;0
463202;0;0
463208;0;0
466461;0;0
466489;0;0
469746;0;0
470714;0;0
471832;0;0
473254;0;0
473339;0;0
473366;5950;15491,93045
475520;0;0
476430;0;0
477175;0;0
478661;0;0
478663;0;0
478818;0;0
480399;0;0
480400;0;0
482469;0;0
483218;0;0
484010;2400;10866,51773
491863;0;0
491867;0;0
493003;5600;14046,91071
493534;0;0
495875;0;0
498254;0;0
500585;0;0
500941;0;0
503156;0;0
506361;0;0
507164;0;0
507218;0;0
507890;0;0
513240;0;0
513242;0;0
513507;0;0
519399;0;0
522516;0;0
525696;0;0
529380;0;0
533582;0;0
539442;0;0
543488;0;0
548425;0;0
553246;0;0
575284;0;0
585279;0;0
589832;0;0
591537;0;0
596340;0;0
965383;4222;16210,37202
967963;0;0
2596;0;0
5918;0;0
7185;0;0
9158;0;0
22038;0;0
22283;0;0
22285;0;0
22308;0;0
22309;0;0
22415;0;0
22421;0;0
22430;0;0
22434;0;0
22448;0;0
22452;0;0
22475;0;0
22484;0;0
22488;0;0
22490;0;0
22492;0;0
22494;0;0
22495;0;0
22498;0;0
22501;0;0
22508;0;0
22517;0;0
22524;0;0
22525;0;0
22526;0;0
22553;0;0
22556;0;0
22561;0;0
22562;0;0
22565;0;0
22599;0;0
22602;0;0
22609;0;0
22611;0;0
22637;0;0
22732;0;0
22733;0;0
22770;0;0
23073;0;0
23224;0;0
23261;0;0
24131;0;0
24889;0;0
106310;0;0
107432;0;0
109617;0;0
109686;0;0
110601;0;0
176583;0;0
177490;0;0
200506;0;0
200670;0;0
202711;0;0
207217;0;0
208574;0;0
208922;0;0
211141;0;0
216968;0;0
221740;0;0
236314;0;0
236560;0;0
236586;0;0
237051;0;0
244643;0;0
254843;0;0
255858;0;0
259497;0;0
268240;0;0
282138;0;0
289370;0;0
300196;0;0
304735;0;0
307413;0;0
309290;0;0
313809;0;0
315823;0;0
315897;0;0
316482;0;0
318310;0;0
319600;0;0
321695;0;0
322877;0;0
323346;0;0
323348;0;0
325119;0;0
330388;0;0
331440;0;0
331612;0;0
335090;0;0
335131;0;0
335225;0;0
335622;0;0
336145;0;0
337450;0;0
337451;0;0
337452;0;0
337453;0;0
343720;0;0
344105;0;0
344186;0;0
350747;0;0
351261;0;0
358003;0;0
363630;0;0
363761;0;0
367747;0;0
367750;0;0
368273;0;0
369934;0;0
374018;0;0
376278;0;0
376539;0;0
377230;0;0
377533;0;0
378860;0;0
379429;0;0
380247;0;0
380251;0;0
381398;0;0
382138;0;0
384161;0;0
384431;0;0
385568;0;0
385978;0;0
389822;0;0
395163;0;0
396730;0;0
398543;0;0
399442;0;0
400084;0;0
405463;0;0
405575;0;0
405581;0;0
406044;0;0
410549;0;0
412516;0;0
421294;0;0
433012;0;0
436230;0;0
448676;0;0
449792;0;0
451970;0;0
460338;0;0
461725;0;0
466489;0;0
468688;0;0
471832;0;0
472658;0;0
473291;0;0
475396;0;0
478424;0;0
480872;0;0
486655;0;0
488550;0;0
491858;0;0
493534;0;0
493655;0;0
493836;0;0
493837;0;0
511566;0;0
517311;0;0
527354;0;0
528026;0;0
530539;0;0
576168;0;0
579906;0;0
583361;0;0
606120;0;0
609889;0;0
628913;0;0
705330;0;0
709174;0;0
730882;0;0
733610;0;0
818550;0;0
877425;0;0
896160;0;0
25821;0;0
40269;0;0
44960;250;8054,702963
63262;4600;27112,41175
63639;0;0
71163;0;0
74075;0;0
200050;160;510,0913936
200506;375;396,958485
200514;0;0
327765;35;1191,5225
344419;0;0
354083;300;12869,66383
354411;0;0
356298;1000;2378,5
375403;60;1047,230013
380826;160;7272,79
418299;0;0
460765;0;0
471658;980;7769,398486
471998;0;0
472499;214;2178,109299
472500;0;0
472501;250;1324,56
472502;0;0
472574;0;0
474252;0;0
512630;0;0
529804;0;0
548022;0;0
581925;0;0
585166;230;7193,481227
585739;25;820,148351
822892;0;0
896160;150;831,796445
981435;85;1253,981251
467;0;0
1167;0;0
1178;0;0
1181;0;0
1215;0;0
1243;4;44,84
1318;0;0
1359;0;0
1446;0;0
2373;0;0
2400;0;0
2942;0;0
3079;0;0
3346;0;0
3612;0;0
3835;0;0
3876;0;0
3924;0;0
4389;0;0
4514;0;0
4862;0;0
4924;0;0
5046;0;0
5059;0;0
5440;0;0
5510;0;0
5534;0;0
5910;0;0
5917;0;0
6073;0;0
6195;0;0
6196;0;0
6326;0;0
7248;0;0
7271;0;0
7359;0;0
7434;0;0
7502;0;0
7529;15;1412,660382
7971;0;0
7989;0;0
8049;0;0
8126;0;0
12163;0;0
12276;0;0
12277;0;0
12292;21;8,92097995
12375;0;0
12446;0;0
12450;0;0
12552;0;0
12608;0;0
12612;0;0
12613;6;2417,085
13168;0;0
13178;0;0
13185;23;78,11842324
13199;0;0
13207;0;0
13243;0;0
13483;0;0
13974;0;0
13976;0;0
14459;0;0
14594;0;0
14596;0;0
14629;0;0
14668;0;0
14713;0;0
14887;0;0
15125;0;0
15234;0;0
15314;0;0
15469;0;0
15517;17;4,25
15538;0;0
15627;0;0
16104;0;0
16229;0;0
16397;0;0
16499;0;0
16614;0;0
16666;0;0
16847;0;0
17257;0;0
17258;0;0
17387;0;0
17430;0;0
17448;0;0
17642;0;0
17998;81;34,02
18062;0;0
18175;0;0
18293;0;0
18499;0;0
18500;0;0
18501;0;0
18614;0;0
18650;0;0
18782;0;0
18843;0;0
18844;5;252,9481818
18846;0;0
18854;0;0
18877;0;0
18917;0;0
19359;0;0
20236;0;0
20252;0;0
20253;0;0
20289;0;0
20292;4;1683,6092
20375;0;0
20378;2;529,3276
20398;0;0
20414;0;0
20437;0;0
20512;0;0
20518;0;0
20566;0;0
20623;0;0
20624;0;0
20625;0;0
20626;0;0
20629;0;0
20663;0;0
20706;0;0
20708;0;0
20713;0;0
20734;0;0
20819;0;0
20824;0;0
20828;0;0
