Mês Movimento;Cd Filial;Nm Filial;Cd Item;Nm Item;Cd Local Estoque;Ds Local Estoque;Qt Movimento;Vl Movimento;soma quantidade movimento
julho;704;ROLANDIA - AB. AVES;374218;CONDIMENTO ESPECIARIA CALDO;625;REFEITORIO;-16;-156,1713586;-16
julho;704;ROLANDIA - AB. AVES;374219;FARINHA MILHO AMARELA EMBALA;17;REFEITORIO;-302;-1384,062232;-302
julho;704;ROLANDIA - AB. AVES;374219;FARINHA MILHO AMARELA EMBALA;625;REFEITORIO;-80;-353,6081731;-80
julho;704;ROLANDIA - AB. AVES;374222;"MOLHO;PIMENTA;FRASCO 900ML";17;REFEITORIO;-432;-2156,872405;-432
julho;704;ROLANDIA - AB. AVES;374222;"MOLHO;PIMENTA;FRASCO 900ML";625;REFEITORIO;-17;-83,22142865;-17
julho;704;ROLANDIA - AB. AVES;374228;AMIDO MILHO EMBALAGEM 1KG;17;REFEITORIO;0;0;0
julho;704;ROLANDIA - AB. AVES;374228;AMIDO MILHO EMBALAGEM 1KG;625;REFEITORIO;-11;-61,58482294;-11
julho;704;ROLANDIA - AB. AVES;374230;MACARRAO PENNE S/ OVOS EMBAL;17;REFEITORIO;-800;-2392;-800
julho;704;ROLANDIA - AB. AVES;374231;MACARRAO PARAFUSO S/ OVOS EM;17;REFEITORIO;-800;-2392;-800
julho;704;ROLANDIA - AB. AVES;374231;MACARRAO PARAFUSO S/ OVOS EM;625;REFEITORIO;-35;-104,65;-35
julho;704;ROLANDIA - AB. AVES;374232;FARINHA FERMENTO PO EMBALAGE;625;REFEITORIO;-5;-15,928;-5
julho;704;ROLANDIA - AB. AVES;374238;PO PURE BATATA A GRANEL;625;REFEITORIO;-42;-1122,784097;-42
julho;704;ROLANDIA - AB. AVES;374248;DOCE LEITE CREMOSO EMBALAGEM;17;REFEITORIO;-38;-1574,747828;-38
julho;704;ROLANDIA - AB. AVES;374248;DOCE LEITE CREMOSO EMBALAGEM;625;REFEITORIO;-12;-488,8;-12
julho;704;ROLANDIA - AB. AVES;374249;DOCE GOIABA CREMOSO EMBALAGE;17;REFEITORIO;-17;-618,5074916;-17
julho;704;ROLANDIA - AB. AVES;374250;CREME LEITE PASTEURIZADO TRA;17;REFEITORIO;-200;-412,3335725;-200
julho;704;ROLANDIA - AB. AVES;374250;CREME LEITE PASTEURIZADO TRA;625;REFEITORIO;-106;-206,7;-106
julho;704;ROLANDIA - AB. AVES;374251;MOLHO SHOYO EMBALAGEM 900ML;17;REFEITORIO;-154;-929,975756;-154
julho;704;ROLANDIA - AB. AVES;374251;MOLHO SHOYO EMBALAGEM 900ML;625;REFEITORIO;-27;-135;-27
