Cd Empresa;Cd Filial;Nm Filial;Tipo Local;Cd Local;Ds Local Estoque;Cd Item;Nome do Item Resumido ;Nome do Item Detalhado;Cd Unidade Medida;Cd Grupo;Nm Grupo;Cd Subgrupo;Nm Subgrupo;Cd Classe;Nm Classe;Qt Saldo Atual;Vl Custo Unitario Atual;Vl Saldo Atual;Qt Maximo;Qt Minimo;Qt Previsao Consumo;Cd Reparticao;Cd Prateleira;Cd Divisao
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;534863;BOTINA SEGURANCA MAT COU FEC;BOTINA SEGURANCA MAT COU FECH ELAS BIQUEI CBIQ MAT BIQUEI ACO DORSO LISO PALMIL CPALMILHA MAT PALMIL EVA TRATAM PALMIL ANTIMICROBIANO SOL BIDENSID MAT SOLADO PU FORMA CONSTRU INJET COR PT TAM 36CA 12214 MARLUVAS;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;16;BOTINAS DE COURO;21;90,987;1910,727;10;6;;E2;11;3
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;534864;BOTINA SEGURANCA MAT COU FEC;BOTINA SEGURANCA MAT COU FECH ELAS BIQUEI CBIQ MAT BIQUEI ACO DORSO LISO PALMIL CPALMILHA MAT PALMIL EVA TRATAM PALMIL ANTIMICROBIANO SOL BIDENSID MAT SOLADO PU FORMA CONSTRU INJET COR PT TAM 37;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;16;BOTINAS DE COURO;7;94,67971154;662,7579808;10;6;;E2;11;4
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;534865;BOTINA SEGURANCA MAT COU FEC;BOTINA SEGURANCA MAT COU FECH ELAS BIQUEI CBIQ MAT BIQUEI ACO DORSO LISO PALMIL CPALMILHA MAT PALMIL EVA TRATAM PALMIL ANTIMICROBIANO SOL BIDENSID MAT SOLADO PU FORMA CONSTRU INJET COR PT TAM 38;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;16;BOTINAS DE COURO;37;92,63243961;3427,400266;20;10;;E2;11;5
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;534866;BOTINA SEGURANCA MAT COU FEC;BOTINA SEGURANCA MAT COU FECH ELAS BIQUEI CBIQ MAT BIQUEI ACO DORSO LISO PALMIL CPALMILHA MAT PALMIL EVA TRATAM PALMIL ANTIMICROBIANO SOL BIDENSID MAT SOLADO PU FORMA CONSTRU INJET COR PT TAM 39;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;16;BOTINAS DE COURO;32;93,15478171;2980,953015;20;10;;E2;11;6
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;534867;BOTINA SEGURANCA MAT COU FEC;BOTINA SEGURANCA MAT COU FECH ELAS BIQUEI CBIQ MAT BIQUEI ACO DORSO LISO PALMIL CPALMILHA MAT PALMIL EVA TRATAM PALMIL ANTIMICROBIANO SOL BIDENSID MAT SOLADO PU FORMA CONSTRU INJET COR PT TAM 40;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;16;BOTINAS DE COURO;2;93,415;186,83;20;10;;E2;11;7
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;534868;BOTINA SEGURANCA MAT COU FEC;BOTINA SEGURANCA MAT COU FECH ELAS BIQUEI CBIQ MAT BIQUEI ACO DORSO LISO PALMIL CPALMILHA MAT PALMIL EVA TRATAM PALMIL ANTIMICROBIANO SOL BIDENSID MAT SOLADO PU FORMA CONSTRU INJET COR PT TAM 41;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;16;BOTINAS DE COURO;8;94,17241482;753,3793185;20;10;;E2;10;2
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;534869;BOTINA SEGURANCA MAT COU FEC;BOTINA SEGURANCA MAT COU FECH ELAS BIQUEI CBIQ MAT BIQUEI ACO DORSO LISO PALMIL CPALMILHA MAT PALMIL EVA TRATAM PALMIL ANTIMICROBIANO SOL BIDENSID MAT SOLADO PU FORMA CONSTRU INJET COR PT TAM 43;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;16;BOTINAS DE COURO;8;93,8645786;750,9166288;20;10;;E2;10;4
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;534910;BOTINA SEGURANCA MAT COU FEC;BOTINA SEGURANCA MAT COU FECH ELAS BIQUEI CBIQ MAT BIQUEI ACO DORSO LISO PALMIL CPALMILHA MAT PALMIL EVA TRATAM PALMIL ANTIMICROBIANO SOL BIDENSID MAT SOLADO PU FORMA CONSTRU INJET COR PT TAM 42;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;16;BOTINAS DE COURO;0;94,5118562;0;20;10;;E2;10;3
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;534913;BOTINA SEGURANCA MAT COU FEC;BOTINA SEGURANCA MAT COU FECH ELAS BIQUEI CBIQ MAT BIQUEI ACO DORSO LISO PALMIL CPALMILHA MAT PALMIL EVA TRATAM PALMIL ANTIMICROBIANO SOL BIDENSID MAT SOLADO PU FORMA CONSTRU INJET COR PT TAM 45CA 12214 MARLUVAS;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;16;BOTINAS DE COURO;4;88,52511112;354,1004445;20;10;;E2;10;6
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;534922;BOTINA SEGURANCA MAT COU FEC;BOTINA SEGURANCA MAT COU FECH ELAS BIQUEI CBIQ MAT BIQUEI ACO DORSO LISO PALMIL CPALMILHA MAT PALMIL EVA TRATAM PALMIL ANTIMICROBIANO SOL BIDENSID MAT SOLADO PU FORMA CONSTRU INJET COR PT TAM 44CA 12214 MARLUVAS;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;16;BOTINAS DE COURO;16;94,67965686;1514,87451;20;10;;E2;10;5
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;592517;CAPACETE SEGURANCA POLIETILE;CAPACETE SEGURANCA POLIETILENO ALTA DENSIDADE PRETO CLASSE A CABA CTIRA REFLETIVA CFENDA LATERAL CARNEIRA AJUSTAVEL CATRACA CPROTETOR AURICULAR TIPO CONCHA CA 29704 SPROTETOR FACIAL NORMA ABNT NBR 82212003 TAMANHO PADRAO29637 3M;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;30;PROTETORES AUDITIVOS TIPO ABAF;0;247,9;0;5;3;;99;999;999
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;593213;COLETE SEGURANCA SINALIZACAO;COLETE SEGURANCA SINALIZACAO POLIESTER LARANJA ZIPER CFAIXA RETRORREFLETIVAS CINZA GVACL90030 STEELFLEX;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;8;MAT. GERAIS;75;20,25654327;1519,240745;80;40;;E2;1;5
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;610544;"CAMISA;BATA UNI;FECHADA;POLI";CAMISABATA UNIFECHADAPOLIESTERALGODAOBRANCATAM EEG;UN;4;MATERIAIS ADMINISTRATIVOS;11;UNIFORMES ADMINISTRATIVOS;1;CALCAS,CAMISAS,BLUSAS         ;20;66,5;1330;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;611180;"CAMISA;BATA UNISSEX;FECHADA;";CAMISABATA UNISSEXFECHADAPOLIESTERALGODAOBRANCATAM EG;UN;4;MATERIAIS ADMINISTRATIVOS;11;UNIFORMES ADMINISTRATIVOS;1;CALCAS,CAMISAS,BLUSAS         ;15;52,29;784,35;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;615085;"CAMISA;BATA;FECHADA;CINZA;TA";CAMISABATAFECHADACINZATAM GGSBOLSOMANGA LONGA;UN;4;MATERIAIS ADMINISTRATIVOS;11;UNIFORMES ADMINISTRATIVOS;1;CALCAS,CAMISAS,BLUSAS         ;70;52,29;3660,3;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;616777;"CAMISA;BATA UNI;FECHADA;POLI";CAMISABATA UNIFECHADAPOLIESTERALGODAOCINZATAM G;UN;4;MATERIAIS ADMINISTRATIVOS;11;UNIFORMES ADMINISTRATIVOS;1;CALCAS,CAMISAS,BLUSAS         ;70;51,24;3586,8;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;618148;"CAPACETE;PEAD;BR;ABA FRONTAL";CAPACETEPEADBRABA FRONTALCACOPLCJUG 3 PONTOSSLOGO;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;4;CAPACETES;84;49,18028321;4131,143789;120;60;;B2;5;3
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;618926;"AJUSTADOR P/LUVA SEGURANÇA;P";AJUSTADOR PLUVA SEGURANÇAPUAZTAM UNICOPCT C100UND;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;8;MAT. GERAIS;700;2,50489928;1753,429497;1000;500;;E2;2;2
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;641266;"LUVA SEGURANCA;NITRILA;COR V";LUVA SEGURANCANITRILACOR VERDE AGUATAM 8;PAR;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;34;LUVA NITRILICA;5726;4,19776406;24036,39703;13824;6912;;A1;6;2
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;686328;LUVA MATERIAL LATEX NATURAL ;LUVA MATERIAL LATEX NATURAL COR AMARELO REVESTIMENTO INTERNO VERNIZ SILVER TAMANHO P COMPRIMENTO PUNHO 33 CM FORMATO NORMALPAR REVESTIMENTO EXTERNO VENIZ SILVER PALMA ANTIDERRAPANTE LISO MT11;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;6;LUVAS;1728;2,1604322;3733,22684;0;0;;A1;21;3
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;703333;"CALÇA;UNISSEX;C/CORDAO;67PCT";CALÇAUNISSEXCCORDAO67PCT PES33PCT ALGBCTAM MCBOLSO;UN;2;MATERIAIS GERAIS USO/CONSUMO;7;UNIFORMES & PERTENCES;7;CALCAS E MACACOES;50;44,84;2242;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;703741;"CAMISA;BATA UNI;FECHADA;POLI";CAMISABATA UNIFECHADAPOLIESTERALGODAOBRANCATAM M;UN;2;MATERIAIS GERAIS USO/CONSUMO;7;UNIFORMES & PERTENCES;4;CAMISETAS;50;52,29;2614,5;;;;;;
30;704;ROLANDIA - AB. AVES;PROPRIO;11;UNIFORMES E EPI'S;706523;LUVA MATERIAL ALGODAO COR NA;LUVA MATERIAL ALGODAO COR NATURAL REVESTIMENTO INTERNO SREVESTIMENTO TAMANHO UNICO COMPRIMENTO PUNHO 7 CM FORMATO NORMALPAR REVESTIMENTO EXTERNO POLICLORETO VINILA PALMA ANTIDERRAPANTE LISO NBR 13712;UN;2;MATERIAIS GERAIS USO/CONSUMO;12;EQUIPAMENTOS DE PROTECAO - EPI;33;LUVA DE ALGODÃO;592;1,74117743;1030,777041;;;;;;
