cod_filial;nome_filial;LC_ESTOQUE;NOME_ESTOQUE;cod_item;nome_item;prateleira;divisao;reparticao;EST_MAX;EST_MIN;lead_time;cod_fornecedor;equipamento;especificacao;locais_aplicacao
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;371027;BUCHA FIXACAO PARAF TIPO UNI;A1;1;6;100;60;45 DIAS;;;BUCHA FIXACAO PARAF TIPO UNIVERSAL UY MATERIAL POLIAMIDA DIAMETRO 6 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;371051;ELEMENTO ACOP PNEU MAT NBR T;E3;1;5;6;3;45 DIAS;;;ELEMENTO ACOP PNEU MAT NBR TAMANHO 125 MODELO AT35;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;372307;ANEL ELASTICO EIXO NORMATIZA;A1;2;12;15;8;45 DIAS;;;ANEL ELASTICO EIXO NORMATIZADO MATERIAL ACO CARBONO SAE1070 ACABAMENTO FOSFATIZADO DIAMETRO 14 UNIDADE MEDIDA MM ESPESSURA 1 UNIDADE MEDIDA MM NORMA DIN471;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;373308;RODA DENTADA SIMPLES FORMA R;B3;5;2;1;1;45 DIAS;;;RODA DENTADA SIMPLES FORMA RODA DENT TIPO 2 MATERIAL ACO CARBONO SAE1045 STRATAMENTO ASA 50 PASSO 58 POL NUMERO DENTES 14 DIAMETRO CUBO 55MM 79 UNIDADE MEDIDA MM DIAMETRO FURO 32 MM LARGURA 30 MM SCHAVETA;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;373322;POLIA CANAL V TIPO CILIND N;E3;1;3;1;1;45 DIAS;;;POLIA CANAL V TIPO CILIND N CANAIS 1 CAN PER A MAT FE FUND FC200 TRATAM SUPERF PINT SINT CUBO MACICO DIAM EX 70 UN MEDI MM DIAM FUR NA UN MEDI NA CHAV SCHAVET;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;373572;EMENDA REDUCAO CORRENTE ROLO;B3;3;5;0;0;45 DIAS;;;EMENDA REDUCAO CORRENTE ROLO TIPO DUPLA ACO CARBONO NORMA ISOABNT 12A2ANSI 602 CONSTRUCAO CONTRAPINADA;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;373736;RETENTOR BA MATERIAL BORRACH;E3;4;5;4;2;45 DIAS;;;RETENTOR BA MATERIAL BORRACHA NITRILICA NBR ESTRIA LABIO LISO DIAMETRO INTERNO 55 MM DIAMETRO EXTERNO 90 MM ALTURA 10 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;373858;CILINDRO ESPECIFICO 10021142;E0;4;10;2;1;45 DIAS;;;CILINDRO ESPECIFICO 10021142407 USINOX;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;374577;SELO ESPECIFICO 2000000 FRIG;E0;4;2;3;2;45 DIAS;;;SELO ESPECIFICO 2000000 FRIGOSTRELLABSEL 2000000 FRIGOSTRELLA;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;374613;SELO MECANICO MATERIAL FACE;E3;1;9;4;2;45 DIAS;;;SELO MECANICO MATERIAL FACE CARVAO X CERAMICA VEDACAO FLUORELASTOMERO TEMPERATURA OPERACAO 0180 C DIAMETRO EIXO 1 POL 21VITON NSEAL;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;374683;VALVULA RESPIRO 1 VIA BRONZE;B3;5;4;1;1;45 DIAS;;;VALVULA RESPIRO 1 VIA BRONZE USO REDUTOR APLICACAO MOTOREDUTOR130303 SEW;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;374794;LIXA FOLHA TIPO FERRO GRANA;B1;4;2;50;25;45 DIAS;;;LIXA FOLHA TIPO FERRO GRANA 100 ABRASIVO OXIDO ALUMINIO LARGURA 200 MM COMPRIMENTO 300 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;375492;ENGRENAGEM ESPECIFICO 0990A6;E0;6;7;0;0;45 DIAS;;;ENGRENAGEM ESPECIFICO 0990A60302600 MEYN;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;376133;"RODA;TM EQUIPAMENTOS/NRE15";B5;3;4;100;50;45 DIAS;;;RODATM EQUIPAMENTOSNRE15;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;376244;ESCOVA MANUAL CERDA METALICA;B1;5;3;20;10;45 DIAS;;;ESCOVA MANUAL CERDA METALICA MATERIAL CORPO MADEIRA COR PRETO CABO CCABO MATERIAL CERDAS ACO INOX AISI 304 RASPADOR SEM RASPADOR COMPRIMENTO TOTAL 290 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;376490;RETENTOR ESPECIFICO 176125 S;E3;5;5;2;1;45 DIAS;;;RETENTOR ESPECIFICO 176125 SEW;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;376965;PARAFUSO SEXTAVADO INOX 16X5;A1;1;3;15;8;45 DIAS;;;PARAFUSO SEXTAVADO MA INOX 16X50MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;377037;EMENDA CORRENTE ROLO DUPLO M;B3;3;4;10;5;45 DIAS;;;EMENDA CORRENTE ROLO DUPLO MATERIAL ACO CARBONO NORMA ISOABNT 24A2ANSI 1202 PASSO 112POL CONSTRUCAO REBITADA5296 RODEX;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;377038;EMENDA CORRENTE ROLO SIMPLES;B3;3;6;4;2;45 DIAS;;;EMENDA CORRENTE ROLO SIMPLES MATERIAL ACO CARBONO NORMA ISOABNT 24A1ANSI 1201 PASSO 112POL CONSTRUCAO REBITADA4598 RODEX;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;377185;ANEL ELASTICO EIXO MATERIAL;A1;2;12;50;25;45 DIAS;;;ANEL ELASTICO EIXO MATERIAL ACO CARBONO SAE1070 ACABAMENTO FOSFATIZADO DIAMETRO 25 UNIDADE MEDIDA MM ESPESSURA 1 UNIDADE MEDIDA MM NORMA DIN471;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;377475;ELETRODO SOLDA APLICACAO ACO;B1;4;5;10;5;45 DIAS;;;ELETRODO SOLDA APLICACAO ACO INOX NORMA ASME SFA 54 CLASSIFICACAO E6130 REVESTIMENTO RUTILICO POSICAO MONTAGEM TODAS TENSAO 2733V POLARIDADE NEGATIVOPOSITIVO FAIXA CORRENTE 6090A DIAMETRO ALMA 2 MM COMPRIMENTO 300 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;377790;ROLAMENTO RIGIDO ESFERA 6307;E1;2;4;3;2;45 DIAS;;;ROLAMENTO RIGIDO ESFERA 6307 UMA CARREIRA FUR CIL MAT ANEIS E CORPOS ROLANT AI ANEL EXT CIL ANEL INT CON RANH SRANH FOLGA C3 GAIOLA ACO INOX DUPLA SBLINDAGEM DIAM IN 35 MM DIAM EX 80 MM LARG 21 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;377849;EIXO ESPECIFICO 06411460 SEW;E3;2;8;2;1;45 DIAS;;;EIXO ESPECIFICO 06411460 SEW;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;378085;BUCHA ESPECIFICO JU02XX00BX0;E0;7;1;0;0;45 DIAS;;;BUCHA ESPECIFICO JU02XX00BX01892 METAL JUNIOR;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;378220;ROLAMENTO AUTOCOMPENSADOR RO;E1;1;5;10;4;45 DIAS;;;ROLAMENTO AUTOCOMPENSADOR ROLO REFERENCIA ROLAMENTO AUTOCOMPENSADOR ROLO 22206 CILINDRICO NORMAL ACO E SVEDACAO SBLINDAGEM DIAM EIX 30 MM DIAM EX 62 MM LARG 20 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;378450;PARAFUSO CAB SEX TIPO PD ENC;A1;1;4;10;5;45 DIAS;;;PARAFUSO CAB SEX TIPO PD ENCAIXE SEXTAVADO EXTERNO MATERIAL ACO INOX AISI304 RESISTENCIA A2 ACABAMENTO SEM ACABAMENTO ROSCA TOTAL UNIFICADA GROSSA UNC 2A DIREI 58 POL 11 FPP 4 POL SPORC ASME ANSI B1821;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;378678;ROLAMENTO RIGIDO ESFERA UC20;E1;1;8;30;25;45 DIAS;;;ROLAMENTO RIGIDO ESFERA UC207V22 UMA CARREIRA FUR CIL MAT ANEIS E CORPOS ROLANT AC ANEL EXT ABAULADO ANEL INT CPARAF TRAVA RANH SRANH FOLGA NOR GAIOLA ACO CARBONO DUPLA SBLINDAGEM DIAM INT 35 MM DIAM EXT 72 MM LARG 429 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;378813;LIXA DISCO FLAP CONICO GRANA;E1;5;10;30;15;45 DIAS;;;LIXA DISCO FLAP CONICO GRANA 80 ABRASIVO OXIDO ALUMINIO ZIRCONADO DIAMETRO EXTERNO 7 POL 78POL;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;379002;CADEADO TIPO HASTE CURTA MAT;B1;2;4;50;25;45 DIAS;;;CADEADO TIPO HASTE CURTA MATERIAL CORPO LATAO ACABAMENTO SEM ACABAMENTO COR NAO APLICAVEL MATERIAL HASTE ACO CEMENTADO LARGURA 45 MM COMP FIX 27MM TRAVAMENTO SIMPLES SEGREDO UNICO;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;379451;BORRACHA ESPECIFICO 921 SEMI;D1;3;2;10;5;45 DIAS;;;BORRACHA ESPECIFICO 921 SEMIL;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;380247;CORRENTE ROL TIPO DUPLO ACO;B3;4;4;4;2;45 DIAS;;;CORRENTE ROL TIPO DUPLO ACO CARBONO NORMA ISOABNT 08A2ANSI 402 PASSO 12 POL CONSTRUCAO CONTRAPINADA;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;380251;CORRENTE ROL TIPO DUPLO ACO;B3;4;4;10;5;45 DIAS;;;CORRENTE ROL TIPO DUPLO ACO CARBONO NORMA ISOABNT 10A2ANSI 502 PASSO 58 POL CONSTRUCAO CONTRAPINADA;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;380259;"ROLAMENTO FIXO ESF;25X47X8MM";E1;5;4;2;2;45 DIAS;;;ROLAMENTO FIXO ESF25X47X8MMGAI ACO16005;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;380265;ROLAMENTO RIGIDO ESFERA 6015;E1;2;3;1;1;45 DIAS;;;ROLAMENTO RIGIDO ESFERA 6015 UMA CARREIRA FUR CIL MAT ANEIS E CORPOS ROLANT AC ANEL EXT CIL ANEL INT CONVENC RANH SRANH FOLGA NOR GAIOLA ACO CARBONO SVEDACAO SIMPLES DIAM INT 75 MM DIAM EXT 115 MM LARG 20 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;380308;RETENTOR BRG MATERIAL BORRAC;E3;5;3;0;0;45 DIAS;;;RETENTOR BRG MATERIAL BORRACHA NITRILICA NBR ESTRIA LABIO LISO DIAMETRO INTERNO 27 MM DIAMETRO EXTERNO 40 MM ALTURA 7 MM;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;380341;PISTA ESPECIFICO 2000014001;E0;4;3;2;1;45 DIAS;;;PISTA ESPECIFICO 2000014001 FRIGOSTRELLA;
704;ROLANDIA - AB. AVES;5;MANUTENÇÃO MECANICA;380345;PISTA ESPECIFICO 2000013001;E0;4;3;2;1;45 DIAS;;;PISTA ESPECIFICO 2000013001 FRIGOSTRELLA;
