Chave Filial;Data;Area;Cd Local Estoque;Filial;Item;Nome Diretoria;Nome Grupo;Nome Agrupado;Nome Classe;Nome Cluster;Nome Complexo;Nome Regional;Nome SubGrupo;Nome Utilização;Consumo Meta;Consumo Real;Excesso;Giro Meta;Giro Real;Giro sem Excesso;Saldo Meta;Saldo Real;Saldo sem Excesso;Saldo Qtd;Consumo Qtd
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;394656 - ROLAMENTO ESPECIFICO 8906890;N/D;Criticos;Total Outros;ROLAMENTOS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;1,7595325;1,7595325;0,002;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;395211 - TAMPA ESPECIFICO 13610503 SE;N/D;Criticos;Total Outros;TAMPAS DE PROTECAO;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO ELETRICA;CRITICOS;0;0;0;-;-;-;0;0,81895;0,81895;0,01;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;395666 - SEPARADOR ESPECIFICO 591805;N/D;Criticos;Total Outros;MATERIAL MANUTENCAO INDUSTRIAL;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;2,404207;2,404207;0,01;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;395696 - BROCA ESPECIFICO 3905080 STO;N/D;Criticos;Total Outros;BROCAS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;11,80206854;11,80206854;0,005;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;396196 - ENGRENAGEM ESPECIFICO 41270;N/D;Criticos;Total Outros;ENGRENAGENS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,47806;0,47806;0,002;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;396613 - DISJUNTOR MONOPOLAR CAIXA MO;N/D;Criticos;Total Outros;DISJUNTORES;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO ELETRICA;CRITICOS;0;0;0;-;-;-;0;0,42952;0,42952;0,008;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;396657 - CORREIA TRANSPORTADORA FECHA;N/D;Criticos;Total Outros;MECANICA;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO - IMPORTADOS;CRITICOS;0;0;0;-;-;-;0;18,19573;18,19573;0,002;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;397020 - ESTILETE ESPECIFICO NB1010BP;N/D;Criticos;Total Outros;LAMINAS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;SERRAS E DISCOS DE CORTE;CRITICOS;0;0,803296;0;-;0;0;0;0;0;0;0,013
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;397320 - MOTOR ESPECIFICO 89329590402;N/D;Criticos;Total Outros;MOTORES E REDUTORES;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO ELETRICA;CRITICOS;0;0;0;-;-;-;0;25,15345;25,15345;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;397840 - PLACA CIRCUITO IMPRESSO ESPE;N/D;Criticos;Total Outros;PLACAS ELETRONICAS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO ELETRICA;CRITICOS;0;0;0;-;-;-;0;7,883052493;7,883052493;0,003;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;398016 - FILTRO ESPECIFICO 80290 COZZ;N/D;Criticos;Total Outros;FILTROS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,94028;0,94028;0,004;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;398143 - MODULO P/CONTROLADOR LOGICO;N/D;Criticos;Total Outros;MODULOS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO ELETRICA;CRITICOS;0;0;0;-;-;-;0;4,27498;4,27498;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;398230 - MOLA ESPECIFICO 30418 PLASME;N/D;Criticos;Total Outros;MOLAS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,19143;0,19143;0,004;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;398258 - DENTE ESPECIFICO 576743 STOR;N/D;Criticos;Total Outros;MATERIAL MANUTENCAO INDUSTRIAL;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;7,108110812;7,108110812;0,084;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;398260 - ANEL ELASTICO RETENCAO EIXO;N/D;Criticos;Total Outros;ANÉIS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,039515;0,039515;0,007;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;"398305 - EIXO;PLASMETAL/34746";N/D;Criticos;Total Outros;EIXOS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,06154;0,06154;0,002;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;398571 - MOLA ESPECIFICO 30417 PLASME;N/D;Criticos;Total Outros;MOLAS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,122091228;0,122091228;0,005;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;398662 - ANEL ESPECIFICO 401500008 JB;N/D;Criticos;Total Outros;VEDANTES;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,259815;0,259815;0,002;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;398670 - ROLAMENTO ESPECIFICO BGJ2503;N/D;Criticos;Total Outros;ROLAMENTOS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,93817;0,93817;0,002;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;398698 - TAMPAO ACO REDUTOR-1140914 S;N/D;Criticos;Total Outros;TAMPAS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,029956;0,029956;0,008;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;398834 - TERMOPAR ESPECIFICO 40940006;N/D;Criticos;Total Outros;ELETRICOS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO ELETRICA;CRITICOS;0;0;0;-;-;-;0;6,880861111;6,880861111;0,003;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;398835 - TERMOPAR ESPECIFICO 40940002;N/D;Criticos;Total Outros;ELETRICOS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO ELETRICA;CRITICOS;0;0;0;-;-;-;0;4,266705;4,266705;0,002;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;"398838 - CONTATO;JBT JOHN BEAN/405000";N/D;Criticos;Total Outros;PECAS EQUIPAMENTO PRODUCAO;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,13217;0,13217;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;398858 - KIT ESPECIFICO SELO MECANICO;N/D;Criticos;Total Outros;JOGOS, CONJUNTOS E KIT'S;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;2,82543;2,82543;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;398859 - SENSOR ESPECIFICO 405000607;N/D;Criticos;Total Outros;SENSORES;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO ELETRICA;CRITICOS;0;0;0;-;-;-;0;1,50005;1,50005;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;398893 - ANEL ESPECIFICO 512280 NETZS;N/D;Criticos;Total Outros;ANÉIS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,08417;0,08417;0,001;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;398998 - BLOCO CONTATO P/ BOTOES TIPO;N/D;Criticos;Total Outros;BLOCOS DE CONTATO;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO ELETRICA;CRITICOS;0;0;0;-;-;-;0;0,2334;0,2334;0,004;0
30|704;Abr 2026;Manutenção;299;ROLANDIA - AB. AVES;399218 - ROLAMENTO ESFERA RADIAL MATE;N/D;Criticos;Total Outros;ROLAMENTOS;AVES CORTES MI;ROLANDIA - ABATE AVES;IN NATURA III;PECAS REPOSICAO MECANICA;CRITICOS;0;0;0;-;-;-;0;0,09816;0,09816;0,003;0
